"","np","time","value","q025","q25","q50","q75","q975","E"
"61",1,63,58364.328125,58163.2109375,58163.2109375,58263.76953125,58909.1123046875,59090.70703125,52417.3462525157
"62",1,70,305210.625,305210.625,352423.65625,352423.65625,369621.25,375353.78125,273125.254765821
"63",1,77,1667533.875,1667533.875,1786932.125,1790095.3125,1793258.5,1793258.5,1746826.2889162
"64",1,84,2514289,2514289,2928078.5,3052449.625,3176820.75,3176820.75,3026583.6651421
"65",1,91,1569009,1432445.5,1432445.5,1500727.25,1589078.625,1595768.5,1640226.03614903
"66",1,98,580857.0625,579159.4375,579583.84375,609453.71875,638050.375,638050.375,705581.095915273
"67",1,105,166112.328125,155400.78125,158078.66796875,168134.421875,170156.515625,170156.515625,183129.925423753
"68",1,112,48537.07421875,42295.55859375,42295.55859375,43261.986328125,44228.4140625,48537.07421875,49072.2849798647
"69",1,119,16655.193359375,15027.26171875,15027.26171875,15413.208984375,15799.15625,16655.193359375,16770.7432877295
"70",1,126,5832.58935546875,5350.4140625,5350.4140625,5591.50170898438,5951.37316894531,5990.9677734375,5417.647136095
"71",1,133,1478.32958984375,1478.32958984375,1657.25061035156,1657.25061035156,1710.91003417969,1728.79650878906,1811.43085510864
"72",1,140,331.592956542969,331.592956542969,349.834350585938,351.549377441406,353.264404296875,353.264404296875,426.538190451308
"73",1,147,56.2143173217773,47.9256324768066,49.0264005661011,52.3287048339844,52.3287048339844,56.2143173217773,60.1524601408751
"74",1,154,6.33388662338257,5.07234859466553,5.08064353466034,5.10552835464478,5.10552835464478,6.33388662338257,6.60634213313002
"75",1,161,0.460904091596603,0.439898729324341,0.439898729324341,0.442896440625191,0.445894151926041,0.460904091596603,0.506342289079967
"76",1,168,0.0389354676008224,0.0389354676008224,0.0426458567380905,0.0426458567380905,0.0435404935851693,0.0438387058675289,0.0454966621947618
"77",1,175,0.00449932226911187,0.00449932226911187,0.00465548038482666,0.00465548038482666,0.00469067285303026,0.0047024036757648,0.00489094449618561
"78",1,182,0.000640100333839655,0.000634749769233167,0.000636087410384789,0.00064840805134736,0.000656715768855065,0.000656715768855065,0.000743227602796017
"79",1,189,0.000125448626931757,0.000114949049020652,0.000114949049020652,0.000116194925794844,0.000117440802569035,0.000125448626931757,0.00014826585596992
"80",1,196,1.98729230760364e-05,1.98729230760364e-05,2.02701339730993e-05,2.07800376301748e-05,2.12899412872503e-05,2.12899412872503e-05,2.62529786751274e-05
"81",1,203,3.77957371711091e-06,3.73648686036177e-06,3.74725857454905e-06,3.9375660207952e-06,4.0955583244795e-06,4.0955583244795e-06,3.89492476454534e-06
"82",1,210,9.32367981931748e-07,8.13678127542516e-07,8.37517319496328e-07,9.09034895357763e-07,9.09034895357763e-07,9.32367981931748e-07,9.58965438882106e-07
"83",1,217,2.89342494852463e-07,2.62526640426586e-07,2.68213717902199e-07,2.8527495032904e-07,2.8527495032904e-07,2.89342494852463e-07,2.90369371131444e-07
"84",1,224,7.65502292665587e-08,7.5068868454764e-08,7.54392086577127e-08,7.7654632946178e-08,7.87590366257973e-08,7.87590366257973e-08,8.06879054355214e-08
"85",1,231,1.4647086210573e-08,1.4647086210573e-08,1.47277141593349e-08,1.47277141593349e-08,1.47639458436544e-08,1.47760230717608e-08,1.7589917243638e-08
"86",1,238,2.3027661999464e-09,2.3027661999464e-09,2.38539943353544e-09,2.45903142293002e-09,2.53266341232461e-09,2.53266341232461e-09,2.75075662250701e-09
"87",1,245,4.01809141514775e-10,3.92084947842264e-10,3.92526483539157e-10,3.93851090629838e-10,3.93851090629838e-10,4.01809141514775e-10,4.66183063049467e-10
"88",1,252,6.69804281483444e-11,6.40031985743583e-11,6.40031985743583e-11,6.45907841101412e-11,6.51783696459241e-11,6.69804281483444e-11,7.4596024321307e-11
"89",1,259,1.05689233406703e-11,1.04808609707741e-11,1.04808609707741e-11,1.05248921557222e-11,1.08278750549085e-11,1.09141922929878e-11,1.26896969063937e-11
